PERMNO,QNO,MOM_RANK,FRET1
10009,65.0,7,0.03912614
10009,66.0,6,0.0378069438180799
10009,67.0,5,0.0759049972879999
10009,68.0,6,0.269701843498503
10009,69.0,8,0.0039011413023855
10009,70.0,7,0.2022813369618172
10009,71.0,7,0.0039997099999999
10009,72.0,6,-0.025280856722439
10009,73.0,2,-0.0263403042828999
10009,74.0,4,-0.1295797558551865
10009,75.0,4,0.0052982848863798
10009,76.0,3,-0.0013820292450612
10009,77.0,5,-0.1030261329573762
10009,78.0,2,-0.0677762529527691
10009,79.0,2,-0.1393810983624301
10009,80.0,1,1.1537746137244609
10009,81.0,6,0.0415179404974481
10009,82.0,8,0.0132663208933634
10009,83.0,8,
10010,42.0,9,-0.1499996874999999
10010,43.0,9,0.14705829944225
10010,44.0,9,0.7948717600131336
10010,45.0,9,-0.1571433349145345
10010,46.0,8,-0.025424664332904
10010,47.0,7,-0.0173909893586299
10010,48.0,5,-0.0619476563882802
10010,49.0,0,-0.3301884626578988
10010,50.0,0,-0.1267612629890233
10010,51.0,0,0.5322581972305189
10010,52.0,1,-0.1303164048288398
10010,53.0,1,-0.23950554843392
10010,56.0,0,0.4666659866667202
10010,57.0,3,-0.0499999400018593
10010,58.0,6,-0.1578948840394322
10010,59.0,8,-0.166666229166625
10010,62.0,3,
10011,42.0,9,0.3414630237598097
10011,54.0,9,0.0549448610989098
10011,55.0,9,0.1875000976774998
10011,56.0,7,0.192982840758221
10011,57.0,9,0.2499997610291751
10011,58.0,9,-0.0588233339821158
10011,59.0,9,0.6249999661231875
10011,60.0,9,-0.1307690998687829
10011,61.0,9,0.0619469045009999
10011,62.0,7,4.7499999999978115e-07
10011,63.0,7,-0.21666630348482
10011,64.0,0,0.0638288941791862
10011,65.0,1,0.0500005007377599
10011,66.0,1,-0.0190476295739999
10011,67.0,1,-0.2815540535094626
10011,68.0,1,-0.040540601741507
10011,69.0,1,0.2957746858680001
10011,70.0,2,-0.0815219283258749
10011,71.0,1,0.1005909036106618
10011,72.0,4,
10012,64.0,9,-0.0095244227338486
10012,80.0,9,0.1789887344782159
10012,81.0,9,0.1485149970198123
10012,82.0,9,-0.4827583847099398
10015,21.0,1,0.1818182209665924
10015,22.0,3,0.2307693852046801
10015,23.0,8,0.2656244375000001
10015,24.0,9,0.2098764231200001
10015,25.0,9,0.2244890389496456
10016,29.0,8,0.0102254343526828
10016,30.0,8,0.0235059399170485
10016,31.0,7,-0.2736840965469634
10016,32.0,5,0.1915823328519625
10016,33.0,4,0.0743339555614297
10016,34.0,4,-0.007596260904483
10016,35.0,5,0.1071235128194625
10016,36.0,7,0.0581078916840001
10016,37.0,6,-0.0088453989435979
10016,38.0,5,0.0267119025100863
10016,39.0,4,-0.1712339647908938
10016,40.0,1,0.1018620848716431
10016,41.0,2,0.04747810149643
10016,42.0,4,-0.3692645110279265
10016,43.0,2,-0.1036620765989678
10016,44.0,1,0.0265271045833714
10016,45.0,0,0.1876375800551648
10016,46.0,0,-0.0838068283281249
10016,47.0,1,-0.108779042857
10016,48.0,1,0.5664569732881948
10016,49.0,7,-0.109820971717502
10016,50.0,4,-0.1712324999999999
10016,51.0,3,0.1248772493911207
10016,52.0,5,0.1115578549560001
10016,53.0,2,-0.0607620438448683
10016,54.0,2,-5.250451599991823e-05
10016,55.0,3,-0.2007077763007106
10016,56.0,1,-0.2935777143672
10016,57.0,0,0.051947855747515
10016,58.0,0,-0.1358019149894374
10016,59.0,0,-0.2999999944391429
10016,60.0,0,0.4693881848032915
10016,61.0,2,-0.0416669946707102
10016,62.0,1,0.536231582894271
10016,63.0,7,-0.216981562106875
10016,64.0,7,0.3012050465189642
10016,65.0,7,0.1203702050533435
10016,66.0,8,-0.111570455119438
10016,67.0,3,-0.106975931127242
10016,68.0,4,0.0104170315755312
10016,69.0,2,0.1340197054924625
