PERMNO,QNO,PRRET,QRET,TURND,ILLIQ,ex,SIZE,PRC,mea_DTD,VOLATILITY,ILLIQ_RANK,SIZE_RANK,MOM_RANK,ILLIQ_CAT,SIZE_CAT,MOM_CAT,OVERALL_COMBO,OVERALL_DECILE,FRET1
10137,82.0,-0.0931919854614772,0.0042438608149164,2.338278810624785,-2.6307142162389174e-09,1.0,3023185.5,27.375,69.13469454692425,0.0204345154468704,80,85,43,80,85,43,69.33333333333333,7,0.4106849197443516
10137,83.0,0.2696175614417444,0.4106849197443516,3.451902329985564,-1.0747400488633339e-09,1.0,4217274.75,38.1875,117.83660467428668,0.0148909588887595,85,87,60,85,87,60,77.33333333333333,8,0.2731254827186313
10138,81.0,0.1641753119832107,0.0728932024638917,3.92629393983039,-1.7029744366981763e-09,,4767966.0,39.5,140.97423494607514,0.0408211176762524,84,90,51,84,90,51,75.0,8,0.0792403940236607
10138,82.0,0.1225356314015926,0.0792403940236607,4.651922161363111,-1.4913923755429772e-09,,5154187.5,42.5,184.64680989336568,0.0443076968329551,85,90,60,85,90,60,78.33333333333333,8,0.1074715584985315
10138,83.0,0.7324329909486063,0.1074715584985315,4.252243638807481,-9.680556546364358e-10,,5713185.5625,46.9375,190.8725784570953,0.0266846958290513,86,89,77,86,89,77,84.0,9,-0.0963383655903455
10143,81.0,2.9000031081500857,1.4566953120071746,28.656050639535437,-8.447126466450377e-09,,514995.0,19.5,515.7772684091708,0.0968633358529172,65,61,89,65,61,89,71.66666666666667,8,0.4775638795044239
10143,82.0,5.779418510914252,0.4775638795044239,13.783575057152987,-2.4844760700708043e-08,,763127.875,28.8125,268.07213663154755,0.1082625339624153,52,65,98,52,65,98,71.66666666666667,8,1.429501114812345
10143,83.0,11.307701752965526,1.429501114812345,19.17841032337476,-2.2564790886372513e-09,,1913940.0,70.0,908.5339116217962,0.0512435332545246,78,79,99,78,79,99,85.33333333333333,9,0.1446426022930409
10145,81.0,0.0845248012862061,-0.083116392461942,4.231793301603078,-1.88032333719475e-10,1.0,41970388.3125,52.6875,206.2238999781611,0.0364697240946681,97,98,46,97,98,46,80.33333333333333,9,-0.358424305559704
10145,82.0,-0.4583334396562799,-0.358424305559704,4.601043602884836,-1.5568306707530923e-10,1.0,26888048.6875,33.6875,205.1588570344644,0.0349593437491645,97,97,9,97,97,9,67.66666666666667,7,0.0626554928441942
10145,83.0,-0.3966539673935764,0.0626554928441942,5.51946061803221,-1.3106349739516318e-10,1.0,28434485.625,35.625,199.91881895675343,0.0248771578699029,97,97,9,97,97,9,67.66666666666667,7,0.3331785958616358
10147,81.0,0.9726048519978254,0.1533182578435468,5.805702759758516,-4.1377078950194845e-11,,134161146.0,126.0,683.58593936692,0.0347112143115902,99,99,75,99,99,75,91.0,9,0.2212312413377388
