PERMNO,mean_size,num_obs
27780,527846.0052083334,12
27802,,0
27828,108151488.60416667,12
27887,21441340.354166668,12
27888,1524838.7864583333,12
27909,65270.09821428572,7
27959,24952846.083333332,12
27983,12369263.931818182,11
27991,3252605.015625,12
28063,92221.53125,10
28118,274454.5625,12
28222,7619614.0625,12
28223,64464.0,2
28302,731007.03125,12
28303,314.19444444444446,9
28310,28331712.458333332,12
28311,,0
28345,2678057.8489583335,12
28353,7236454.65625,12
28388,3049246.8333333335,12
28484,5649417.796875,12
28564,1399682.7083333333,12
28725,51056.52777777778,9
28804,741221.6979166666,12
28840,523771.75,12
28847,2236002.5208333335,12
28952,138160.84895833334,12
29014,252783.59375,12
29050,52831.177083333336,12
29058,64233.520833333336,12
29073,108529.33374999999,10
29102,6283327.1570833335,12
29103,,0
29111,172137.60416666666,12
29145,149615.078125,12
29209,3106710.921875,12
29210,69305.6,10
29285,39665.203125,12
29532,138123.7625,10
29560,67935.34375,12
29576,9077.515625,4
29612,358357.0885416667,12
29621,25602.151041666668,12
29647,35753617.432291664,12
29736,100173.39772727272,11
29744,44274.375,1
29752,508994.1510416667,12
29787,19170.5625,2
29867,245162.5,1
29890,72494593.00520833,12
29938,1591773.3541666667,12
29946,2220689.9322916665,12
30147,684683.4114583334,12
30197,86850.81597222222,9
30250,318577.171875,12
30277,3250856.2708333335,12
30307,19293.5,1
30382,5901858.90625,12
30402,151696.640625,12
30411,49388.1875,4
30437,545800.4010416666,12
30509,22632.005208333332,12
30534,137769.41666666666,12
30593,28638.0625,2
30648,564546.5625,12
30672,1244682.5520833333,12
30680,378193.609375,12
30681,15392091.526041666,12
30728,573576.75,3
30737,390119.9635416667,12
30744,43629.921875,12
30761,144948.94270833334,12
30780,646085.1614691666,12
30840,32610.994791666668,12
30940,618594.109375,12
31035,,0
31042,41571.713541666664,12
31069,,0
31070,59034.796875,12
31077,213350.484375,12
31078,35520.669270833336,12
31238,104396.91666666667,12
31318,29844.973958333332,12
31325,1809616.7395833333,12
31457,,0
31472,323904.5208333333,6
31480,51636.885416666664,12
31500,1672479.2447916667,12
31552,81004.296875,12
31691,15903.135416666666,12
31799,12551266.59375,12
31974,639690.0802083333,12
32046,296007.796875,12
32054,1154038.6744791667,12
32062,10285.875,1
32096,123937.95833333333,12
32110,145029.97916666666,12
32222,35381.729166666664,3
32281,575077.94375,10
32379,1741499.9745066667,12
32540,3699024.2916666665,12
32548,,0
32619,5657.614583333333,12
32636,398556.453125,12
32678,130577.75520833333,12
32687,,0
32707,1681604.96875,12
32791,4631658.364583333,12
32803,102926.61458333333,12
32839,29781.901041666668,12
32870,2412208.609375,12
32934,251973.22395833334,12
32942,1334417.5520833333,12
32943,195018.5625,10
32986,639571.7291666666,12
33072,1168629.5260416667,12
33099,10205941.952708334,12
33137,2071134.53125,12
33188,67967.109375,12
33209,1340697.4791666667,12
33267,,0
33372,49062.52840909091,11
33452,28305614.270833332,12
33532,41202.916666666664,12
33567,,0
33603,146544.45833333334,12
33612,77125.8671875,12
33647,436440.7473958333,12
33690,576807.5572916666,12
33770,,0
33849,56451.635416666664,12
33882,586245.90625,12
33937,34584.520833333336,12
34032,9009300.963541666,12
34067,159654.078125,12
34121,83980.34895833333,12
34228,28699.698677999997,5
34287,79467.58333333333,9
34367,340190.6875,12
34404,106137.296875,4
34463,43364.864583333336,12
34497,223039.48958333334,12
34498,692934.671875,12
34578,,0
34630,36762.6,5
34649,154512.0625,12
34666,,0
34673,588897.0104166666,12
34746,21520654.40625,12
34817,3362006.9114583335,12
34818,182985.05208333334,12
34825,,0
34833,7750017.067708333,12
34841,614360.1041666666,12
34869,46850.8984375,12
34936,50576.291666666664,9
34938,2979.777777777778,9
34939,14515.253472222223,9
34948,134249.85416666666,12
34981,365990.5625,4
35044,4955729.572916667,12
35051,2544839.1979166665,12
35107,391178.5520833333,12
35124,1128257.625,12
35167,1833770.0414716667,12
35238,341582.5390625,8
35263,1278406.3125,12
35503,204457.36458333334,12
35553,3016.203125,12
35554,3683481.6126249996,12
35561,19936.864583333332,12
35617,242836.8046875,8
35685,807636.921875,12
35705,27484.359375,12
35781,1330662.9010416667,12
35829,260137.47916666666,12
35916,53166.84375,12
35917,1036514.5859375,12
35940,843933.23125,10
35991,491915.5364583333,12
36003,479490.21875,12
36127,21291007.145833332,12
36178,110744.678125,10
36257,48756.953125,12
36274,3279741.576388889,9
36281,263965.0,12
36346,358825.6510416667,12
36397,2788802.0989583335,12
36468,3588977.9947916665,12
36469,29695451.536458332,12
36709,11746.190769166666,12
36768,76464.90625,12
36783,178485.9375,1
36898,202322.71354166666,12
37022,21843.25,2
37023,43745.213541666664,12
37058,161059.56770833334,12
37161,2998662.1822916665,12
37196,141204.51388888888,9
37217,159470.975,12
37226,766844.6875,2
37234,722872.2447916666,12
37277,46260.6796875,8
37284,326240.7395833333,12
37399,72277.50260416667,12
37460,6192.854166666667,6
37541,8628.458333333334,3
37560,11552.8125,12
37568,367645.9479166667,12
37584,8672970.210416667,12
37699,476239.21875,4
37807,1359602.4425000001,12
37867,146616.65625,12
37875,585159.19859,12
37955,481187.0769516667,12
38033,79083.31770833333,12
38085,1701188.859375,4
38093,1717180.3541666667,12
38149,71045.375,3
38156,18097076.052083332,12
38333,104273.66145833333,12
38420,1173714.2395833333,12
38471,,0
38578,1260276.2239583333,12
38608,37282.330729166664,12
38658,1196880.2083333333,12
38659,1963950.921875,12
38682,2800602.0937633333,12
38703,71694227.078125,12
38746,39903.72321428572,7
38762,2573157.7083333335,12
38790,,0
38850,180869.19270833334,12
38893,13098933.1875,12
38906,1767688.3333333333,12
38914,3235551.78125,12
38973,1842604.921875,12
38982,133213.84375,2
39029,40460.778645833336,12
39045,65033.890625,8
39087,34877850.838541664,12
39220,129881.01041666667,12
39239,158632.17708333334,12
39240,,0
39256,,0
39301,,0
39379,,0
39482,48388.723958333336,12
39490,6312443.869791667,12
39538,5016648.844166667,12
39562,365840.1614583333,12
39571,682965.0677083334,12
39642,7389396.34375,12
39693,324494.5052083333,12
39731,88421.22395833333,12
39757,195837.87760416666,12
39765,296326.5729166667,12
39766,20790.627604166668,12
39917,10970529.921875,12
40061,2946406.109375,12
40062,153599.615625,10
40097,528032.28125,12
40125,12650331.869791666,12
40272,2793936.3333333335,12
40299,451049.70937500003,12
40345,113486.515625,12
40416,9389509.90625,12
40440,1973262.9322916667,12
40468,19278.901041666668,12
40483,93882191.35000001,12
40539,6190439.234375,12
40540,64460.17124833333,12
40572,32119.983333333334,12
40644,911311.525,5
40694,635324.953125,12
40695,,0
40707,855666.5104166666,12
40838,2566084.1925,12
41005,2078872.203125,12
41014,463021.3541666667,9
41064,1178636.1875,7
41072,527523.25,12
41080,1414390.15625,12
41100,947299.11875,10
41187,1078798.0625,12
41188,32698.703125,8
41217,173708.32291666666,12
41241,84320.47916666667,12
41260,54833.333333333336,12
41292,68203.125,6
41320,60231.489583333336,12
41355,4599966.645833333,12
41371,120127.50520833333,12
41419,301619.85714285716,7
41443,19260689.442708332,12
41444,16077.1875,8
41452,186173.8875,10
41487,898946.6747533333,12
41574,31221.645833333332,9
41663,100177.84375,12
41726,2029259.3125,12
41807,1818997.9010416667,12
41823,4984.4375,5
41929,1315100.7916666667,12
42024,1730642.5052083333,12
42059,1519754.5260416667,12
42067,175823.390625,4
42083,963305.6458333334,12
42104,804985.859375,4
